Sheet,Cell,Formula,Evaluated Value
Analysis,V7,"=IF(summ[[#This Row],[LLC Hint]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable LLC:"",summ[[#This Row],[LLC Hint]]),"""")",
Analysis,W7,"=IF(summ[[#This Row],[Other]]<>"""",_xlfn.TEXTJOIN("" "",,""Defeature:"",summ[[#This Row],[Other]],"" -- Check CORE or CHA MCAs for more data.""),"""")","Defeature: UPI:pcie6, UPI:pcie5  -- Check CORE or CHA MCAs for more data."
Analysis,Y7,"=_xlfn.TEXTJOIN("" - "",,IF(summ[[#This Row],[Core Fail Area]]<>"""",""CORE: ""&summ[[#This Row],[Core Fail Area]],""""),IF(summ[[#This Row],[CHA Fail Area]]<>"""",""CHA: ""&summ[[#This Row],[CHA Fail Area]],""""),IF(summ[[#This Row],[LLC Fail Area]]<>"""",""LLC: ""&summ[[#This Row],[LLC Fail Area]],""""))",
Analysis,B8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],ppv[Data.Visual_ID],ppv[Data.Step], """")",
Analysis,C8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],ppv[Data.Visual_ID],ppv[Data.Start_WW])",#N/A
Analysis,D8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!F:F)",4
Analysis,E8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!G:G)",NotFound
Analysis,F8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!H:H)",
Analysis,G8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!I:I)",NotFound
Analysis,H8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!J:J)",
Analysis,I8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!K:K)",NotFound
Analysis,J8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!L:L)",
Analysis,K8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!M:M)",47
Analysis,L8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!N:N)",
Analysis,M8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!O:O)",WbMtoE
Analysis,N8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!P:P)",PullData
Analysis,O8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!Q:Q)",Ismq_Idle
Analysis,P8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!R:R)",HOM
Analysis,Q8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!S:S)",MEM2
Analysis,R8,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!U:U)",
